GEOGRAPHY_NAME,OBS_VALUE
Bank Top,35
Central,85
Cockerton East,20
Cockerton West,35
College,5
Eastbourne,40
Faverdale,5
Harrowgate Hill,10
Haughton East,40
Haughton North,15
Haughton West,20
Heighington and Coniscliffe,5
Hummersknott,5
Hurworth,10
Lascelles,45
Lingfield,20
Middleton St George,5
Mowden,5
North Road,70
Northgate,55
Park East,65
Park West,10
Pierremont,35
Sadberge and Whessoe,5
Annfield Plain,60
Aycliffe East,30
Aycliffe North,40
Aycliffe West,60
Barnard Castle East,25
Barnard Castle West,10
Belmont,15
Benfieldside,35
Bishop Auckland Town,50
Blackhalls,55
Brandon,55
Burnopfield and Dipton,25
Chester-le-Street North and East,25
Chester-le-Street South,25
Chester-le-Street West Central,70
Chilton,50
Consett North,50
Coundon,75
Coxhoe,30
Craghead and South Moor,70
Crook North and Tow Law,50
Crook South,80
Dawdon,80
Deerness Valley,45
Delves Lane and Consett South,75
Deneside,60
Durham South,25
Easington,70
Elvet,10
Esh,25
Evenwood,30
Ferryhill,70
Framwellgate Moor,30
Gilesgate,50
Horden,80
Lanchester,15
Leadgate and Medomsley,40
Lumley,35
Murton,50
Neville's Cross,5
Newton Hall,20
Ouston and Urpeth,30
Pelton,40
Peterlee East,80
Peterlee West,60
Sacriston,35
Seaham,15
Sedgefield,15
Sherburn,40
Shildon East,80
Shildon West,60
Shotton,75
Spennymoor and Middlestone,55
Stanley,75
Tanfield,50
Thornley,50
Trimdon,45
Tudhoe,55
Weardale,15
West Auckland,35
Willington,70
Wingate,50
Woodhouse Close,85
Brus,75
Burn Valley,65
Dyke House,85
Elwick,5
Fens,25
Foggy Furze,45
Grange,60
Greatham,10
Hart,15
Owton,75
Park,20
Rift House,55
Rossmere,35
Seaton,25
St Hilda,50
Stranton,110
Throston,25
Acklam,25
Ayresome,40
Beckfield,45
Beechwood,40
Brookfield,10
Clairville,55
Coulby Newham,25
Gresham,115
Hemlington,45
Kader,15
Ladgate,35
Linthorpe,35
Marton,5
Marton West,10
Middlehaven,75
North Ormesby and Brambles Farm,85
Nunthorpe,5
Pallister,60
Park End,30
Stainton and Thornton,65
Thorntree,10
University,100
Alnwick,65
Amble,25
Amble West with Warkworth,25
Ashington Central,5
Bamburgh,50
Bedlington Central,5
Bedlington East,15
Bedlington West,40
Bellingham,25
Berwick East,5
Berwick North,15
Berwick West with Ord,15
Bothal,10
Bywell,15
Chevington with Longhorseley,0
Choppington,35
Corbridge,30
Cowpen,65
Cramlington East,5
Cramlington Eastfield,50
Cramlington North,35
Cramlington South East,25
Cramlington Village,10
Cramlington West,15
Croft,15
Haltwhistle,40
Hartley,65
Haydon,10
Haydon and Hadrian,15
Hexham Central with Acomb,15
Hexham East,5
Hexham West,5
Hirst,10
Holywell,0
Humshaugh,85
Isabella,20
Kitty Brewster,5
Lesbury,65
Longhoughton,65
Lynemouth,5
Morpeth Kirkhill,5
Morpeth North,25
Morpeth Stobhill,15
Newbiggin Central and East,10
Newsham,15
Norham and Islandshires,30
Pegswood,60
Plessey,5
Ponteland East,15
Ponteland North,10
Ponteland South with Heddon,5
Ponteland West,5
Prudhoe East,5
Prudhoe West,0
Rothbury,20
Seaton with Newbiggin West,15
Seghill with Seaton Delaval,5
Shilbottle,35
Sleekburn,50
South Blyth,15
South Tynedale,35
Stakeford,10
Stocksfield and Broomhaugh,5
Ulgham,15
Wensleydale,10
Wooler,15
Brotton,30
Coatham,10
Dormanstown,45
Eston,55
Grangetown,40
Guisborough,50
Hutton,85
Kirkleatham,45
Lockwood,20
Loftus,50
Longbeck,15
Newcomen,45
Normanby,15
Ormesby,20
Saltburn,30
Skelton,15
South Bank,15
St Germain's,40
Teesville,65
West Dyke,25
Westworth,45
Zetland,15
Billingham Central,15
Billingham East,10
Billingham North,55
Billingham South,60
Billingham West,25
Bishopsgarth and Elm Tree,40
Eaglescliffe,15
Fairfield,25
Grangefield,25
Hardwick,15
Hartburn,30
Ingleby Barwick East,70
Ingleby Barwick West,10
Mandale and Victoria,30
Newtown,25
Northern Parishes,105
Norton North,95
Norton South,5
Norton West,40
Parkfield and Oxbridge,40
Roseworth,10
Stainsby Hill,105
Stockton Town Centre,70
Village,45
Western Parishes,120
Yarm,30
Birtley,10
Blaydon,20
Bridges,45
Chopwell and Rowlands Gill,65
Chowdene,55
Crawcrook and Greenside,65
Deckham,65
Dunston and Teams,25
Dunston Hill and Whickham East,80
Felling,70
High Fell,35
Lamesley,85
Lobley Hill and Bensham,100
Low Fell,55
Pelaw and Heworth,80
"Ryton, Crookhill and Stella",20
Saltwell,35
Wardley and Leam Lane,40
Whickham North,65
Whickham South and Sunniside,45
Windy Nook and Whitehills,35
Winlaton and High Spen,15
Benwell and Scotswood,55
Blakelaw,35
Byker,95
Castle,80
Dene,160
Denton,35
East Gosforth,20
Elswick,65
Fawdon,10
Fenham,135
Kenton,80
Lemington,45
Newburn,80
North Heaton,65
North Jesmond,55
Ouseburn,15
Parklands,15
South Heaton,55
South Jesmond,10
Walker,55
Walkergate,25
West Gosforth,150
Westerhope,65
Westgate,30
Wingrove,25
Woolsington,100
Battle Hill,85
Benton,75
Camperdown,65
Chirton,30
Collingwood,40
Cullercoats,100
Howdon,70
Killingworth,20
Longbenton,90
Monkseaton North,20
Monkseaton South,45
Northumberland,15
Preston,25
Riverside,30
St Mary's,20
Tynemouth,155
Valley,5
Wallsend,30
Weetslade,60
Whitley Bay,110
Beacon and Bents,25
Bede,40
Biddick and All Saints,110
Boldon Colliery,65
Cleadon and East Boldon,105
Cleadon Park,60
Fellgate and Hedworth,15
Harton,70
Hebburn North,40
Hebburn South,50
Horsley Hill,55
Monkton,40
Primrose,50
Simonside and Rekendyke,65
West Park,60
Westoe,120
Whitburn and Marsden,50
Whiteleas,40
Barnes,35
Copt Hill,60
Doxford,45
Fulwell,85
Hendon,95
Hetton,35
Houghton,25
Millfield,170
Pallion,100
Redhill,80
Ryhope,90
Sandhill,95
Shiney Row,115
Silksworth,55
Southwick,110
St Anne's,75
St Chad's,70
St Michael's,115
St Peter's,85
Washington Central,35
Washington East,50
Washington North,35
