GEOGRAPHY_CODE,OBS_VALUE,,,,,,,,GEOGRAPHY_NAME
E05001465,75,,,,,Aldergrove,95AA01,10,Brus
E05001466,65,,,,,Balloo,95AA02,10,Burn Valley
E05001467,85,,,,,Ballycraigy,95AA03,10,Dyke House
E05001468,5,,,,,Clady,95AA04,0,Elwick
E05001469,25,,,,,Cranfield,95AA05,10,Fens
E05001470,45,,,,,Crumlin (Antrim LGD),95AA06,15,Foggy Furze
E05001471,60,,,,,Drumanaway,95AA07,5,Grange
E05001472,10,,,,,Farranshane,95AA08,10,Greatham
E05001473,15,,,,,Fountain Hill,95AA09,10,Hart
E05001474,75,,,,,Greystone (Antrim LGD),95AA10,10,Owton
E05001475,20,,,,,Massereene,95AA11,15,Park
E05001476,55,,,,,Parkgate,95AA12,5,Rift House
E05001477,35,,,,,Randalstown,95AA13,10,Rossmere
E05001479,25,,,,,Shilvodan,95AA14,5,Seaton
E05001478,50,,,,,Springfarm,95AA15,15,St Hilda
E05001480,110,,,,,Steeple,95AA16,5,Stranton
E05001481,25,,,,,Stiles,95AA17,5,Throston
E05001482,25,,,,,Templepatrick,95AA18,0,Acklam
E05001483,40,,,,,Toome,95AA19,5,Ayresome
E05001484,45,,,,,Ballygowan,95BB01,10,Beckfield
E05001485,40,,,,,Ballyrainey,95BB02,10,Beechwood
E05001486,10,,,,,Ballywalter,95BB03,15,Brookfield
E05001487,55,,,,,Bradshaw's Brae,95BB04,5,Clairville
E05001488,25,,,,,Carrowdore,95BB05,5,Coulby Newham
E05001489,115,,,,,Central (Ards LGD),95BB06,15,Gresham
E05001490,45,,,,,Comber East,95BB07,5,Hemlington
E05001491,15,,,,,Comber North,95BB08,10,Kader
E05001492,35,,,,,Comber West,95BB09,10,Ladgate
E05001493,35,,,,,Donaghadee North,95BB10,0,Linthorpe
E05001495,5,,,,,Donaghadee South,95BB11,10,Marton
E05001496,10,,,,,Glen,95BB12,10,Marton West
E05001497,75,,,,,Gregstown,95BB13,30,Middlehaven
E05001494,85,,,,,Killinchy,95BB14,5,North Ormesby and Brambles Farm
E05001498,5,,,,,Kircubbin,95BB15,10,Nunthorpe
E05001499,60,,,,,Lisbane,95BB16,5,Pallister
E05001500,30,,,,,Loughries,95BB17,15,Park
E05001501,65,,,,,Millisle,95BB18,10,Park End
E05001502,10,,,,,Movilla,95BB19,10,Stainton and Thornton
E05001503,100,,,,,Portaferry,95BB20,15,Thorntree
