"GEOGRAPHY_NAME","GEOGRAPHY_CODE","AGE_NAME","OBS_VALUE"
"Bank Top","E36000089","Aged 16-24",35
"Bank Top","E36000089","Aged 25-29",20
"Central","E36000090","Aged 16-24",85
"Central","E36000090","Aged 25-29",40
"Cockerton East","E36000091","Aged 16-24",20
"Cockerton East","E36000091","Aged 25-29",5
"Cockerton West","E36000092","Aged 16-24",35
"Cockerton West","E36000092","Aged 25-29",20
"College","E36000093","Aged 16-24",5
"College","E36000093","Aged 25-29",5
"Eastbourne","E36000094","Aged 16-24",40
"Eastbourne","E36000094","Aged 25-29",25
"Faverdale","E36000095","Aged 16-24",5
"Faverdale","E36000095","Aged 25-29",0
"Harrowgate Hill","E36000096","Aged 16-24",10
"Harrowgate Hill","E36000096","Aged 25-29",15
"Haughton East","E36000097","Aged 16-24",40
"Haughton East","E36000097","Aged 25-29",20
"Haughton North","E36000098","Aged 16-24",15
"Haughton North","E36000098","Aged 25-29",5
"Haughton West","E36000099","Aged 16-24",20
"Haughton West","E36000099","Aged 25-29",10
"Heighington and Coniscliffe","E36000100","Aged 16-24",5
"Heighington and Coniscliffe","E36000100","Aged 25-29",5
"Hummersknott","E36000101","Aged 16-24",5
"Hummersknott","E36000101","Aged 25-29",0
"Hurworth","E36000102","Aged 16-24",10
"Hurworth","E36000102","Aged 25-29",5
"Lascelles","E36000103","Aged 16-24",45
"Lascelles","E36000103","Aged 25-29",20
"Lingfield","E36000104","Aged 16-24",20
"Lingfield","E36000104","Aged 25-29",20
"Middleton St George","E36000105","Aged 16-24",5
"Middleton St George","E36000105","Aged 25-29",10
"Mowden","E36000106","Aged 16-24",5
"Mowden","E36000106","Aged 25-29",0
"North Road","E36000107","Aged 16-24",70
"North Road","E36000107","Aged 25-29",40
"Northgate","E36000108","Aged 16-24",55
"Northgate","E36000108","Aged 25-29",40
"Park East","E36000109","Aged 16-24",65
"Park East","E36000109","Aged 25-29",25
"Park West","E36000110","Aged 16-24",10
"Park West","E36000110","Aged 25-29",5
"Pierremont","E36000111","Aged 16-24",35
"Pierremont","E36000111","Aged 25-29",20
"Sadberge and Whessoe","E36000112","Aged 16-24",5
"Sadberge and Whessoe","E36000112","Aged 25-29",5
"Annfield Plain","E36001063","Aged 16-24",60
