"GEOGRAPHY_NAME","OBS_VALUE"
"Bank Top",35
"Central",85
"Cockerton East",20
"Cockerton West",35
"College",5
"Eastbourne",40
"Faverdale",5
"Harrowgate Hill",10
"Haughton East",40
"Haughton North",15
"Haughton West",20
"Heighington and Coniscliffe",5
"Hummersknott",5
"Hurworth",10
"Lascelles",45
"Lingfield",20
"Middleton St George",5
"Mowden",5
"North Road",70
"Northgate",55
"Park East",65
"Park West",10
"Pierremont",35
"Sadberge and Whessoe",5
"Annfield Plain",60
"Aycliffe East",30
"Aycliffe North",40
"Aycliffe West",60
"Barnard Castle East",25
"Barnard Castle West",10
"Belmont",15
"Benfieldside",35
"Bishop Auckland Town",50
"Blackhalls",55
"Brandon",55
"Burnopfield and Dipton",25
"Chester-le-Street North and East",25
"Chester-le-Street South",25
"Chester-le-Street West Central",70
"Chilton",50
"Consett North",50
"Coundon",75
"Coxhoe",30
"Craghead and South Moor",70
"Crook North and Tow Law",50
"Crook South",80
"Dawdon",80
"Deerness Valley",45
"Delves Lane and Consett South",75
"Deneside",60
"Durham South",25
"Easington",70
"Elvet",10
"Esh",25
"Evenwood",30
"Ferryhill",70
"Framwellgate Moor",30
"Gilesgate",50
"Horden",80
"Lanchester",15
"Leadgate and Medomsley",40
"Lumley",35
"Murton",50
"Neville's Cross",5
"Newton Hall",20
"Ouston and Urpeth",30
"Pelton",40
"Peterlee East",80
"Peterlee West",60
"Sacriston",35
"Seaham",15
"Sedgefield",15
"Sherburn",40
"Shildon East",80
"Shildon West",60
"Shotton",75
"Spennymoor and Middlestone",55
"Stanley",75
"Tanfield",50
"Thornley",50
"Trimdon",45
"Tudhoe",55
"Weardale",15
"West Auckland",35
"Willington",70
"Wingate",50
"Woodhouse Close",85
"Brus",75
"Burn Valley",65
"Dyke House",85
"Elwick",5
"Fens",25
"Foggy Furze",45
"Grange",60
"Greatham",10
"Hart",15
"Owton",75
"Park",20
"Rift House",55
"Rossmere",35
"Seaton",25
"St Hilda",50
"Stranton",110
"Throston",25
"Acklam",25
"Ayresome",40
"Beckfield",45
"Beechwood",40
"Brookfield",10
"Clairville",55
"Coulby Newham",25
"Gresham",115
"Hemlington",45
"Kader",15
"Ladgate",35
"Linthorpe",35
"Marton",5
"Marton West",10
"Middlehaven",75
"North Ormesby and Brambles Farm",85
"Nunthorpe",5
"Pallister",60
"Park",30
"Park End",65
"Stainton and Thornton",10
"Thorntree",100
"University",65
"Alnwick",25
"Amble",25
"Amble West with Warkworth",5
"Ashington Central",50
"Bamburgh",5
"Bedlington Central",15
"Bedlington East",40
"Bedlington West",25
"Bellingham",5
"Berwick East",15
"Berwick North",15
"Berwick West with Ord",10
"Bothal",15
"Bywell",0
"Chevington with Longhorseley",35
"Choppington",30
"College",65
"Corbridge",5
"Cowpen",50
"Cramlington East",35
"Cramlington Eastfield",25
"Cramlington North",10
"Cramlington South East",15
"Cramlington Village",15
"Cramlington West",40
"Croft",65
"Haltwhistle",10
"Hartley",15
"Haydon",15
"Haydon and Hadrian",5
"Hexham Central with Acomb",5
"Hexham East",10
"Hexham West",0
"Hirst",85
"Holywell",20
"Humshaugh",5
"Isabella",65
"Kitty Brewster",65
"Lesbury",5
"Longhoughton",5
"Lynemouth",25
"Morpeth Kirkhill",15
"Morpeth North",10
"Morpeth Stobhill",15
"Newbiggin Central and East",30
"Newsham",60
"Norham and Islandshires",5
"Pegswood",15
"Plessey",10
"Ponteland East",5
"Ponteland North",5
"Ponteland South with Heddon",5
"Ponteland West",0
"Prudhoe East",20
"Prudhoe West",15
"Rothbury",5
"Seaton with Newbiggin West",35
"Seghill with Seaton Delaval",50
"Shilbottle",15
"Sleekburn",35
"South Blyth",10
"South Tynedale",5
"Stakeford",15
"Stocksfield and Broomhaugh",10
"Ulgham",15
"Wensleydale",30
"Wooler",10
"Brotton",45
"Coatham",55
"Dormanstown",40
"Eston",50
"Grangetown",85
"Guisborough",45
"Hutton",20
"Kirkleatham",50
"Lockwood",15
"Loftus",45
"Longbeck",15
"Newcomen",20
"Normanby",30
"Ormesby",15
"Saltburn",15
"Skelton",40
"South Bank",65
"St Germain's",25
"Teesville",45
"West Dyke",15
"Westworth",15
"Zetland",10
"Billingham Central",55
"Billingham East",60
"Billingham North",25
"Billingham South",40
"Billingham West",15
"Bishopsgarth and Elm Tree",25
"Eaglescliffe",25
"Fairfield",15
"Grangefield",30
"Hardwick",70
"Hartburn",10
"Ingleby Barwick East",30
"Ingleby Barwick West",25
"Mandale and Victoria",105
"Newtown",95
"Northern Parishes",5
"Norton North",40
"Norton South",40
"Norton West",10
"Parkfield and Oxbridge",105
"Roseworth",70
"Stainsby Hill",45
"Stockton Town Centre",120
"Village",30
"Western Parishes",10
"Yarm",20
"Birtley",45
"Blaydon",65
"Bridges",55
"Chopwell and Rowlands Gill",65
"Chowdene",65
"Crawcrook and Greenside",25
"Deckham",80
"Dunston and Teams",70
"Dunston Hill and Whickham East",35
"Felling",85
"High Fell",100
"Lamesley",55
"Lobley Hill and Bensham",80
"Low Fell",20
"Pelaw and Heworth",35
"Ryton, Crookhill and Stella",40
"Saltwell",65
"Wardley and Leam Lane",45
"Whickham North",35
"Whickham South and Sunniside",15
"Windy Nook and Whitehills",55
"Winlaton and High Spen",35
"Benwell and Scotswood",95
"Blakelaw",80
"Byker",160
"Castle",35
"Dene",20
"Denton",65
"East Gosforth",10
"Elswick",135
"Fawdon",80
"Fenham",45
"Kenton",80
"Lemington",65
"Newburn",55
"North Heaton",15
"North Jesmond",15
"Ouseburn",55
"Parklands",10
"South Heaton",55
"South Jesmond",25
"Walker",150
"Walkergate",65
"West Gosforth",30
"Westerhope",25
"Westgate",100
"Wingrove",85
"Woolsington",75
"Battle Hill",65
"Benton",30
"Camperdown",40
"Chirton",100
"Collingwood",70
"Cullercoats",20
"Howdon",90
"Killingworth",20
"Longbenton",45
"Monkseaton North",15
"Monkseaton South",25
"Northumberland",30
"Preston",20
"Riverside",155
"St Mary's",5
"Tynemouth",30
"Valley",60
"Wallsend",110
"Weetslade",25
"Whitley Bay",40
"Beacon and Bents",110
"Bede",65
