GEOGRAPHY_NAME,GEOGRAPHY_CODE,25-29
Brus,E05001465,20
Burn Valley,E05001466,40
Dyke House,E05001467,5
Elwick,E05001468,20
Fens,E05001469,5
Foggy Furze,E05001470,25
Grange,E05001471,0
Greatham,E05001472,15
Hart,E05001473,20
Owton,E05001474,5
Park,E05001475,10
Rift House,E05001476,5
Rossmere,E05001477,0
Seaton,E05001479,5
St Hilda,E05001478,20
Stranton,E05001480,20
Throston,E05001481,10
Acklam,E05001482,0
Ayresome,E05001483,40
Beckfield,E05001484,40
Beechwood,E05001485,25
Brookfield,E05001486,5
Clairville,E05001487,20
Coulby Newham,E05001488,5
Gresham,E05001489,45
Hemlington,E05001490,25
Kader,E05001491,20
Ladgate,E05001492,40
Linthorpe,E05001493,10
Marton,E05001495,5
Marton West,E05001496,5
Middlehaven,E05001497,15
North Ormesby and Brambles Farm,E05001494,30
Nunthorpe,E05001498,45
Pallister,E05001499,35
Park,E05001500,10
Park End,E05001501,15
Stainton and Thornton,E05001502,10
Thorntree,E05001503,40
University,E05001504,50
Brotton,E05001505,30
Coatham,E05001506,45
Dormanstown,E05001507,25
Eston,E05001508,45
Grangetown,E05001509,30
Guisborough,E05001510,40
Hutton,E05001511,50
Kirkleatham,E05001512,25
Lockwood,E05001513,40
Loftus,E05001514,35
Longbeck,E05001515,20
Newcomen,E05001516,50
Normanby,E05001517,10
Ormesby,E05001518,15
Saltburn,E05001520,10
Skelton,E05001521,45
South Bank,E05001522,15
St Germain's,E05001519,25
Teesville,E05001523,70
West Dyke,E05001524,10
Westworth,E05001525,25
Zetland,E05001526,20
Billingham Central,E05001527,30
Billingham East,E05001528,5
Billingham North,E05001529,10
Billingham South,E05001530,20
Billingham West,E05001531,20
Bishopsgarth and Elm Tree,E05001532,55
Eaglescliffe,E05001533,25
Fairfield,E05001534,20
Grangefield,E05001535,10
Hardwick,E05001536,5
Hartburn,E05001537,20
Ingleby Barwick East,E05001538,40
Ingleby Barwick West,E05001539,35
Mandale and Victoria,E05001540,40
Newtown,E05001541,25
Northern Parishes,E05001542,50
Norton North,E05001543,20
Norton South,E05001544,35
Norton West,E05001545,30
Parkfield and Oxbridge,E05001546,25
Roseworth,E05001547,10
Stainsby Hill,E05001548,15
Stockton Town Centre,E05001549,40
Village,E05001550,35
Western Parishes,E05001551,45
Yarm,E05001552,65
Bank Top,E05001553,50
Central,E05001554,45
Cockerton East,E05001555,0
Cockerton West,E05001556,10
College,E05001557,35
Eastbourne,E05001558,40
Faverdale,E05001559,5
Harrowgate Hill,E05001560,10
Haughton East,E05001561,50
Haughton North,E05001562,10
Haughton West,E05001563,25
Heighington and Coniscliffe,E05001564,15
Hummersknott,E05001565,10
Hurworth,E05001566,25
Lascelles,E05001567,60
Lingfield,E05001568,20
Middleton St George,E05001569,15
Mowden,E05001570,35
North Road,E05001571,30
Northgate,E05001572,30
Park East,E05001573,10
Park West,E05001574,25
Pierremont,E05001575,25
Sadberge and Whessoe,E05001576,105
Appleton,E05001577,30
Beechwood,E05001578,5
Birchfield,E05001579,20
Broadheath,E05001580,30
Daresbury,E05001582,0
Ditton,E05001583,5
Farnworth,E05001584,50
Grange,E05001585,70
Hale,E05001586,0
Halton Brook,E05001587,40
Halton Castle,E05001581,25
Halton Lea,E05001588,40
Halton View,E05001589,5
Heath,E05001590,55
Hough Green,E05001591,50
Kingsway,E05001592,10
Mersey,E05001593,15
Norton North,E05001594,5
Norton South,E05001595,35
Riverside,E05001596,0
Windmill Hill,E05001597,10
Appleton,E05001598,25
Bewsey and Whitecross,E05001599,10
Birchwood,E05001600,5
Burtonwood and Winwick,E05001601,10
"Culcheth, Glazebury and Croft",E05001602,10
Fairfield and Howley,E05001603,10
Grappenhall and Thelwall,E05001604,10
Great Sankey North,E05001605,0
Great Sankey South,E05001606,10
"Hatton, Stretton and Walton",E05001607,15
Latchford East,E05001608,40
Latchford West,E05001609,0
Lymm,E05001610,25
Orford,E05001611,15
Penketh and Cuerdley,E05001612,10
Poplars and Hulme,E05001613,5
Poulton North,E05001614,5
Poulton South,E05001615,10
Rixton and Woolston,E05001616,10
Stockton Heath,E05001617,40
Westbrook,E05001618,10
Whittle Hall,E05001619,10
Audley,E05001620,5
Bastwell,E05001621,5
Beardwood with Lammack,E05001622,10
Corporation Park,E05001623,5
Earcroft,E05001624,5
East Rural,E05001625,55
Ewood,E05001626,20
Fernhurst,E05001627,5
Higher Croft,E05001628,40
Little Harwood,E05001629,25
Livesey with Pleasington,E05001630,5
Marsh House,E05001631,0
Meadowhead,E05001632,15
Mill Hill,E05001633,5
North Turton with Tockholes,E05001634,5
Queen's Park,E05001635,10
Roe Lee,E05001636,15
Shadsworth with Whitebirk,E05001637,30
Shear Brow,E05001638,5
Sudell,E05001639,5
Sunnyhurst,E05001640,0
Wensley Fold,E05001641,5
Whitehall,E05001642,0
Anchorsholme,E05001643,5
Bispham,E05001644,0
Bloomfield,E05001645,15
Brunswick,E05001646,5
Claremont,E05001647,5
Clifton,E05001648,10
Greenlands,E05001649,25
Hawes Side,E05001650,5
Highfield,E05001651,10
Ingthorpe,E05001652,5
Layton,E05001653,0
Marton,E05001654,5
Norbreck,E05001655,5
Park,E05001656,5
Squires Gate,E05001657,10
Stanley,E05001658,5
Talbot,E05001659,35
Tyldesley,E05001660,40
Victoria,E05001661,30
Warbreck,E05001662,35
Waterloo,E05001663,50
Avenue,E05001664,20
Beverley,E05001665,10
Boothferry,E05001666,25
Bransholme East,E05001667,10
Bransholme West,E05001668,25
Bricknell,E05001669,10
Derringham,E05001670,15
Drypool,E05001671,20
Holderness,E05001672,5
Ings,E05001673,10
Kings Park,E05001674,30
Longhill,E05001675,50
Marfleet,E05001676,10
Myton,E05001677,20
Newington,E05001678,10
Newland,E05001679,5
Orchard Park and Greenwood,E05001680,5
Pickering,E05001681,25
Southcoates East,E05001683,45
Southcoates West,E05001684,10
St Andrew's,E05001682,30
Sutton,E05001685,0
University,E05001686,5
Beverley Rural,E05001687,10
Bridlington Central and Old Town,E05001688,5
Bridlington North,E05001689,5
Bridlington South,E05001690,45
Cottingham North,E05001691,5
Cottingham South,E05001692,5
Dale,E05001693,10
Driffield and Rural,E05001694,85
East Wolds and Coastal,E05001695,65
Goole North,E05001696,0
Goole South,E05001697,25
Hessle,E05001698,35
Howden,E05001699,5
Howdenshire,E05001700,80
Mid Holderness,E05001701,35
Minster and Woodmansey,E05001702,35
North Holderness,E05001703,95
Pocklington Provincial,E05001704,20
"Snaith, Airmyn, Rawcliffe and Marshland",E05001706,5
South East Holderness,E05001707,10
South Hunsley,E05001708,20
South West Holderness,E05001709,30
St Mary's,E05001705,40
Tranby,E05001710,30
Willerby and Kirk Ella,E05001711,30
Wolds Weighton,E05001712,10
Croft Baker,E05001713,60
East Marsh,E05001714,60
Freshney,E05001715,15
Haverstoe,E05001716,55
Heneage,E05001717,45
Humberston and New Waltham,E05001718,40
Immingham,E05001719,60
Park,E05001720,5
Scartho,E05001721,15
Sidney Sussex,E05001722,20
South,E05001723,60
Waltham,E05001724,25
West Marsh,E05001725,25
Wolds,E05001726,5
Yarborough,E05001727,35
Ashby,E05001728,20
Axholme Central,E05001729,90
Axholme North,E05001730,50
Axholme South,E05001731,115
Barton,E05001732,25
Bottesford,E05001733,10
Brigg and Wolds,E05001734,45
Broughton and Appleby,E05001735,15
Brumby,E05001736,125
Burringham and Gunness,E05001737,45
Burton upon Stather and Winterton,E05001738,45
Crosby and Park,E05001739,55
Ferry,E05001740,35
Frodingham,E05001741,40
Kingsway with Lincoln Gardens,E05001742,20
Ridge,E05001743,0
Town,E05001744,55
Acomb,E05001745,5
Bishopthorpe,E05001746,50
Clifton,E05001747,25
Derwent,E05001748,105
Dringhouses and Woodthorpe,E05001749,50
Fishergate,E05001750,5
Fulford,E05001751,15
Guildhall,E05001752,65
Haxby and Wigginton,E05001753,100
Heslington,E05001754,65
Heworth,E05001755,30
Heworth Without,E05001756,10
Holgate,E05001757,25
Hull Road,E05001758,60
Huntington and New Earswick,E05001759,30
Micklegate,E05001760,10
Osbaldwick,E05001761,55
Rural West York,E05001762,15
"Skelton, Rawcliffe and Clifton Without",E05001763,30
Strensall,E05001764,5
Westfield,E05001765,15
Wheldrake,E05001766,15
Abbey,E05001767,20
Allestree,E05001768,85
Alvaston,E05001769,0
Arboretum,E05001770,20
Blagreaves,E05001771,30
Boulton,E05001772,50
Chaddesden,E05001773,20
Chellaston,E05001774,25
Darley,E05001775,65
Derwent,E05001776,50
Littleover,E05001777,70
Mackworth,E05001778,35
Mickleover,E05001779,5
Normanton,E05001780,30
Oakwood,E05001781,25
Sinfin,E05001782,35
Spondon,E05001783,35
Abbey,E05001784,25
Aylestone,E05001785,45
Beaumont Leys,E05001786,40
Belgrave,E05001787,50
Braunstone Park and Rowley Fields,E05001788,70
Castle,E05001789,30
Charnwood,E05001790,25
Coleman,E05001791,20
Evington,E05001792,35
Eyres Monsell,E05001793,30
Fosse,E05001794,55
Freemen,E05001795,40
Humberstone and Hamilton,E05001796,20
Knighton,E05001797,15
Latimer,E05001798,135
New Parks,E05001799,75
Rushey Mead,E05001800,40
Spinney Hills,E05001801,75
Stoneygate,E05001802,75
Thurncourt,E05001803,70
Westcotes,E05001804,35
Western Park,E05001805,70
Braunston and Belton,E05001806,55
Cottesmore,E05001807,45
Exton,E05001808,80
Greetham,E05001809,45
Ketton,E05001810,35
Langham,E05001811,15
Lyddington,E05001812,30
Martinsthorpe,E05001813,35
Normanton,E05001814,30
Oakham North East,E05001815,80
Oakham North West,E05001816,30
Oakham South East,E05001817,30
Oakham South West,E05001818,35
Ryhall and Casterton,E05001819,25
Uppingham,E05001820,0
Whissendine,E05001821,35
Arboretum,E05001822,15
Aspley,E05001823,0
Basford,E05001824,40
Berridge,E05001825,0
Bestwood,E05001826,35
Bilborough,E05001827,20
Bridge,E05001828,10
Bulwell,E05001829,15
Bulwell Forest,E05001830,25
Clifton North,E05001831,55
Clifton South,E05001832,5
Dales,E05001833,35
Dunkirk and Lenton,E05001834,10
Leen Valley,E05001835,60
Mapperley,E05001836,25
Radford and Park,E05001837,45
Sherwood,E05001839,25
St Ann's,E05001838,60
Wollaton East and Lenton Abbey,E05001840,5
Wollaton West,E05001841,15
Aylestone,E05001842,5
Backbury,E05001843,85
Belmont,E05001844,55
Bircher,E05001845,85
Bringsty,E05001846,25
Bromyard,E05001847,20
"Burghill, Holmer and Lyde",E05001848,25
Castle,E05001849,15
Central,E05001850,25
Credenhill,E05001851,25
Frome,E05001852,15
Golden Cross with Weobley,E05001853,5
Golden Valley North,E05001854,40
Golden Valley South,E05001855,10
Hagley,E05001856,10
Hampton Court,E05001857,70
Hollington,E05001858,20
Hope End,E05001859,30
Kerne Bridge,E05001860,20
Kington Town,E05001861,60
Ledbury,E05001862,5
Leominster North,E05001863,15
Leominster South,E05001864,5
Llangarron,E05001865,5
Mortimer,E05001866,5
Old Gore,E05001867,20
Pembridge and Lyonshall with Titley,E05001868,5
Penyard,E05001869,0
Pontrilas,E05001870,20
Ross-on-Wye East,E05001871,10
Ross-on-Wye West,E05001872,50
St Martins and Hinton,E05001873,40
St Nicholas,E05001874,15
Stoney Street,E05001875,50
Sutton Walls,E05001876,30
Three Elms,E05001877,30
Tupsley,E05001878,0
Upton,E05001879,5
Valletts,E05001880,5
Wormsley Ridge,E05001881,15
Apley Castle,E05001882,5
Arleston,E05001883,5
